last_name, first_name,player_id,year
Perez, Oliver,424144,2022
Wainwright, Adam,425794,2022
Greinke, Zack,425844,2022
Molina, Yadier,425877,2022
Verlander, Justin,434378,2022
Sanchez, Anibal,434671,2022
Escobar, Alcides,444876,2022
Jansen, Kenley,445276,2022
Chavez, Jesse,445926,2022
Detwiler, Ross,446321,2022
Kluber, Corey,446372,2022
Hill, Rich,448179,2022
Doolittle, Sean,448281,2022
Morton, Charlie,450203,2022
Kennedy, Ian,453178,2022
Bard, Daniel,453268,2022
Scherzer, Max,453286,2022
Melancon, Mark,453343,2022
Martin, Chris,455119,2022
Price, David,456034,2022
Cueto, Johnny,456501,2022
Bush, Matt,456713,2022
Wilson, Justin,458677,2022
Lynn, Lance,458681,2022
McGee, Jake,459429,2022
Clippard, Tyler,461325,2022
Chacin, Jhoulys,468504,2022
Carrasco, Carlos,471911,2022
Garcia, Luis,472610,2022
Phelps, David,475479,2022
Luetge, Lucas,476595,2022
Kershaw, Clayton,477132,2022
Hunter, Tommy,488984,2022
Miley, Wade,489119,2022
Romo, Sergio,489265,2022
Stammen, Craig,489334,2022
Yates, Kirby,489446,2022
Ottavino, Adam,493603,2022
Quintana, Jose,500779,2022
Pineda, Michael,501381,2022
Alvarez, Jose,501625,2022
Smith, Joe,501925,2022
Minor, Mike,501985,2022
Archer, Chris,502042,2022
Gibson, Kyle,502043,2022
Robertson, David,502085,2022
Cobb, Alex,502171,2022
Espino, Paolo,502179,2022
Boxberger, Brad,502202,2022
Anderson, Chase,502624,2022
O'Day, Darren,503285,2022
Peralta, Wily,503449,2022
Darvish, Yu,506433,2022
Colome, Alex,517008,2022
Alexander, Scott,518397,2022
Brasier, Ryan,518489,2022
Bumgarner, Madison,518516,2022
Cishek, Steve,518553,2022
Cruz, Fernando,518585,2022
Diekman, Jake,518617,2022
Grimm, Justin,518748,2022
Holland, Greg,518813,2022
Kelly, Merrill,518876,2022
Kimbrel, Craig,518886,2022
McFarland, T.J.,519008,2022
Moore, Matt,519043,2022
Pressly, Ryan,519151,2022
Sale, Chris,519242,2022
Smith, Will,519293,2022
Strickland, Hunter,519326,2022
Baez, Pedro,520980,2022
Hendriks, Liam,521230,2022
Kelly, Joe,523260,2022
Perez, Martin,527048,2022
Vizcaino, Arodys,527055,2022
Castellanos, Humberto,528748,2022
Ramirez, Erasmo,541640,2022
Bethancourt, Christian,542194,2022
Cisnero, Jose,542585,2022
Anderson, Tyler,542881,2022
Armstrong, Shawn,542888,2022
Bass, Anthony,542914,2022
Bleier, Richard,542947,2022
Cole, Gerrit,543037,2022
Coulombe, Danny,543056,2022
DeSclafani, Anthony,543101,2022
Eovaldi, Nathan,543135,2022
Gose, Anthony,543238,2022
Gray, Sonny,543243,2022
Hand, Brad,543272,2022
Harrison, Josh,543281,2022
Hendricks, Kyle,543294,2022
Hudson, Daniel,543339,2022
Lyles, Jordan,543475,2022
May, Trevor,543507,2022
McHugh, Collin,543521,2022
